Position,Club,Season,Matches,Win_percentage,Wins,Draw_Percentage,Draws,Loss_Percentage,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,Man United,2010/11,38,60.52631579,23,28.94736842,11,10.52631579,4,78,37,41,80
2,Chelsea,2010/11,38,55.26315789,21,21.05263158,8,23.68421053,9,69,33,36,71
3,Man City,2010/11,38,55.26315789,21,21.05263158,8,23.68421053,9,60,33,27,71
4,Arsenal,2010/11,38,50,19,28.94736842,11,21.05263158,8,72,43,29,68
5,Tottenham,2010/11,38,42.10526316,16,36.84210526,14,21.05263158,8,55,46,9,62
6,Liverpool,2010/11,38,44.73684211,17,18.42105263,7,36.84210526,14,59,44,15,58
7,Everton,2010/11,38,34.21052632,13,39.47368421,15,26.31578947,10,51,45,6,54
8,Fulham,2010/11,38,28.94736842,11,42.10526316,16,28.94736842,11,49,43,6,49
9,Aston Villa,2010/11,38,31.57894737,12,31.57894737,12,36.84210526,14,48,59,-11,48
10,Sunderland,2010/11,38,31.57894737,12,28.94736842,11,39.47368421,15,45,56,-11,47
11,West Brom,2010/11,38,31.57894737,12,28.94736842,11,39.47368421,15,56,71,-15,47
12,Newcastle,2010/11,38,28.94736842,11,34.21052632,13,36.84210526,14,56,57,-1,46
13,Stoke,2010/11,38,34.21052632,13,18.42105263,7,47.36842105,18,46,48,-2,46
14,Bolton,2010/11,38,31.57894737,12,26.31578947,10,42.10526316,16,52,56,-4,46
15,Blackburn,2010/11,38,28.94736842,11,26.31578947,10,44.73684211,17,46,59,-13,43
16,Wigan,2010/11,38,23.68421053,9,39.47368421,15,36.84210526,14,40,61,-21,42
17,Wolves,2010/11,38,28.94736842,11,18.42105263,7,52.63157895,20,46,66,-20,40
18,Birmingham,2010/11,38,21.05263158,8,39.47368421,15,39.47368421,15,37,58,-21,39
19,Blackpool,2010/11,38,26.31578947,10,23.68421053,9,50,19,55,78,-23,39
20,West Ham,2010/11,38,18.42105263,7,31.57894737,12,50,19,43,70,-27,33
1,Man City,2011/12,38,73.68421053,28,13.15789474,5,13.15789474,5,93,29,64,89
2,Man United,2011/12,38,73.68421053,28,13.15789474,5,13.15789474,5,89,33,56,89
3,Arsenal,2011/12,38,55.26315789,21,18.42105263,7,26.31578947,10,74,49,25,70
4,Tottenham,2011/12,38,52.63157895,20,23.68421053,9,23.68421053,9,66,41,25,69
5,Newcastle,2011/12,38,50,19,21.05263158,8,28.94736842,11,56,51,5,65
6,Chelsea,2011/12,38,47.36842105,18,26.31578947,10,26.31578947,10,65,46,19,64
7,Everton,2011/12,38,39.47368421,15,28.94736842,11,31.57894737,12,50,40,10,56
8,Liverpool,2011/12,38,36.84210526,14,26.31578947,10,36.84210526,14,47,40,7,52
9,Fulham,2011/12,38,36.84210526,14,26.31578947,10,36.84210526,14,48,51,-3,52
10,West Brom,2011/12,38,34.21052632,13,21.05263158,8,44.73684211,17,45,52,-7,47
11,Swansea,2011/12,38,31.57894737,12,28.94736842,11,39.47368421,15,44,51,-7,47
12,Norwich,2011/12,38,31.57894737,12,28.94736842,11,39.47368421,15,52,66,-14,47
13,Sunderland,2011/12,38,28.94736842,11,31.57894737,12,39.47368421,15,45,46,-1,45
14,Stoke,2011/12,38,28.94736842,11,31.57894737,12,39.47368421,15,36,53,-17,45
15,Wigan,2011/12,38,28.94736842,11,26.31578947,10,44.73684211,17,42,62,-20,43
16,Aston Villa,2011/12,38,18.42105263,7,44.73684211,17,36.84210526,14,37,53,-16,38
17,QPR,2011/12,38,26.31578947,10,18.42105263,7,55.26315789,21,43,66,-23,37
18,Bolton,2011/12,38,26.31578947,10,15.78947368,6,57.89473684,22,46,77,-31,36
19,Blackburn,2011/12,38,21.05263158,8,18.42105263,7,60.52631579,23,48,78,-30,31
20,Wolves,2011/12,38,13.15789474,5,26.31578947,10,60.52631579,23,40,82,-42,25
1,Man United,2012/13,38,73.68421053,28,13.15789474,5,13.15789474,5,86,43,43,89
2,Man City,2012/13,38,60.52631579,23,23.68421053,9,15.78947368,6,66,34,32,78
3,Chelsea,2012/13,38,57.89473684,22,23.68421053,9,18.42105263,7,75,39,36,75
4,Arsenal,2012/13,38,55.26315789,21,26.31578947,10,18.42105263,7,72,37,35,73
5,Tottenham,2012/13,38,55.26315789,21,23.68421053,9,21.05263158,8,66,46,20,72
6,Everton,2012/13,38,42.10526316,16,39.47368421,15,18.42105263,7,55,40,15,63
7,Liverpool,2012/13,38,42.10526316,16,34.21052632,13,23.68421053,9,71,43,28,61
8,West Brom,2012/13,38,36.84210526,14,18.42105263,7,44.73684211,17,53,57,-4,49
9,Swansea,2012/13,38,28.94736842,11,34.21052632,13,36.84210526,14,47,51,-4,46
10,West Ham,2012/13,38,31.57894737,12,26.31578947,10,42.10526316,16,45,53,-8,46
11,Norwich,2012/13,38,26.31578947,10,36.84210526,14,36.84210526,14,41,58,-17,44
12,Fulham,2012/13,38,28.94736842,11,26.31578947,10,44.73684211,17,50,60,-10,43
13,Stoke,2012/13,38,23.68421053,9,39.47368421,15,36.84210526,14,34,45,-11,42
14,Southampton,2012/13,38,23.68421053,9,36.84210526,14,39.47368421,15,49,60,-11,41
15,Aston Villa,2012/13,38,26.31578947,10,28.94736842,11,44.73684211,17,47,69,-22,41
16,Newcastle,2012/13,38,28.94736842,11,21.05263158,8,50,19,45,68,-23,41
17,Sunderland,2012/13,38,23.68421053,9,31.57894737,12,44.73684211,17,41,54,-13,39
18,Wigan,2012/13,38,23.68421053,9,23.68421053,9,52.63157895,20,47,73,-26,36
19,Reading,2012/13,38,15.78947368,6,26.31578947,10,57.89473684,22,43,73,-30,28
20,QPR,2012/13,38,10.52631579,4,34.21052632,13,55.26315789,21,30,60,-30,25
1,Man City,2013/14,38,71.05263158,27,13.15789474,5,15.78947368,6,102,37,65,86
2,Liverpool,2013/14,38,68.42105263,26,15.78947368,6,15.78947368,6,101,50,51,84
3,Chelsea,2013/14,38,65.78947368,25,18.42105263,7,15.78947368,6,71,27,44,82
4,Arsenal,2013/14,38,63.15789474,24,18.42105263,7,18.42105263,7,68,41,27,79
5,Everton,2013/14,38,55.26315789,21,23.68421053,9,21.05263158,8,61,39,22,72
6,Tottenham,2013/14,38,55.26315789,21,15.78947368,6,28.94736842,11,55,51,4,69
7,Man United,2013/14,38,50,19,18.42105263,7,31.57894737,12,64,43,21,64
8,Southampton,2013/14,38,39.47368421,15,28.94736842,11,31.57894737,12,54,46,8,56
9,Stoke,2013/14,38,34.21052632,13,28.94736842,11,36.84210526,14,45,52,-7,50
10,Newcastle,2013/14,38,39.47368421,15,10.52631579,4,50,19,43,59,-16,49
11,Crystal Palace,2013/14,38,34.21052632,13,15.78947368,6,50,19,33,48,-15,45
12,Swansea,2013/14,38,28.94736842,11,23.68421053,9,47.36842105,18,54,54,0,42
13,West Ham,2013/14,38,28.94736842,11,18.42105263,7,52.63157895,20,40,51,-11,40
14,Sunderland,2013/14,38,26.31578947,10,21.05263158,8,52.63157895,20,41,60,-19,38
15,Aston Villa,2013/14,38,26.31578947,10,21.05263158,8,52.63157895,20,39,61,-22,38
16,Hull,2013/14,38,26.31578947,10,18.42105263,7,55.26315789,21,38,53,-15,37
17,West Brom,2013/14,38,18.42105263,7,39.47368421,15,42.10526316,16,43,59,-16,36
18,Norwich,2013/14,38,21.05263158,8,23.68421053,9,55.26315789,21,28,62,-34,33
19,Fulham,2013/14,38,23.68421053,9,13.15789474,5,63.15789474,24,40,85,-45,32
20,Cardiff,2013/14,38,18.42105263,7,23.68421053,9,57.89473684,22,32,74,-42,30
1,Chelsea,2014/15,38,68.42105263,26,23.68421053,9,7.894736842,3,73,32,41,87
2,Man City,2014/15,38,63.15789474,24,18.42105263,7,18.42105263,7,83,38,45,79
3,Arsenal,2014/15,38,57.89473684,22,23.68421053,9,18.42105263,7,71,36,35,75
4,Man United,2014/15,38,52.63157895,20,26.31578947,10,21.05263158,8,62,37,25,70
5,Tottenham,2014/15,38,50,19,18.42105263,7,31.57894737,12,58,53,5,64
6,Liverpool,2014/15,38,47.36842105,18,21.05263158,8,31.57894737,12,52,48,4,62
7,Southampton,2014/15,38,47.36842105,18,15.78947368,6,36.84210526,14,54,33,21,60
8,Swansea,2014/15,38,42.10526316,16,21.05263158,8,36.84210526,14,46,49,-3,56
9,Stoke,2014/15,38,39.47368421,15,23.68421053,9,36.84210526,14,48,45,3,54
10,Crystal Palace,2014/15,38,34.21052632,13,23.68421053,9,42.10526316,16,47,51,-4,48
11,Everton,2014/15,38,31.57894737,12,28.94736842,11,39.47368421,15,48,50,-2,47
12,West Ham,2014/15,38,31.57894737,12,28.94736842,11,39.47368421,15,44,47,-3,47
13,West Brom,2014/15,38,28.94736842,11,28.94736842,11,42.10526316,16,38,51,-13,44
14,Leicester,2014/15,38,28.94736842,11,21.05263158,8,50,19,46,55,-9,41
15,Newcastle,2014/15,38,26.31578947,10,23.68421053,9,50,19,40,63,-23,39
16,Sunderland,2014/15,38,18.42105263,7,44.73684211,17,36.84210526,14,31,53,-22,38
17,Aston Villa,2014/15,38,26.31578947,10,21.05263158,8,52.63157895,20,31,57,-26,38
18,Hull,2014/15,38,21.05263158,8,28.94736842,11,50,19,33,51,-18,35
19,Burnley,2014/15,38,18.42105263,7,31.57894737,12,50,19,28,53,-25,33
20,QPR,2014/15,38,21.05263158,8,15.78947368,6,63.15789474,24,42,73,-31,30
1,Leicester,2015/16,38,60.52631579,23,31.57894737,12,7.894736842,3,68,36,32,81
2,Arsenal,2015/16,38,52.63157895,20,28.94736842,11,18.42105263,7,65,36,29,71
3,Tottenham,2015/16,38,50,19,34.21052632,13,15.78947368,6,69,35,34,70
4,Man City,2015/16,38,50,19,23.68421053,9,26.31578947,10,71,41,30,66
5,Man United,2015/16,38,50,19,23.68421053,9,26.31578947,10,49,35,14,66
6,Southampton,2015/16,38,47.36842105,18,23.68421053,9,28.94736842,11,59,41,18,63
7,West Ham,2015/16,38,42.10526316,16,36.84210526,14,21.05263158,8,65,51,14,62
8,Liverpool,2015/16,38,42.10526316,16,31.57894737,12,26.31578947,10,63,50,13,60
9,Stoke,2015/16,38,36.84210526,14,23.68421053,9,39.47368421,15,41,55,-14,51
10,Chelsea,2015/16,38,31.57894737,12,36.84210526,14,31.57894737,12,59,53,6,50
11,Everton,2015/16,38,28.94736842,11,36.84210526,14,34.21052632,13,59,55,4,47
12,Swansea,2015/16,38,31.57894737,12,28.94736842,11,39.47368421,15,42,52,-10,47
13,Watford,2015/16,38,31.57894737,12,23.68421053,9,44.73684211,17,40,50,-10,45
14,West Brom,2015/16,38,26.31578947,10,34.21052632,13,39.47368421,15,34,48,-14,43
15,Crystal Palace,2015/16,38,28.94736842,11,23.68421053,9,47.36842105,18,39,51,-12,42
16,Bournemouth,2015/16,38,28.94736842,11,23.68421053,9,47.36842105,18,45,67,-22,42
17,Sunderland,2015/16,38,23.68421053,9,31.57894737,12,44.73684211,17,48,62,-14,39
18,Newcastle,2015/16,38,23.68421053,9,26.31578947,10,50,19,44,65,-21,37
19,Norwich,2015/16,38,23.68421053,9,18.42105263,7,57.89473684,22,39,67,-28,34
20,Aston Villa,2015/16,38,7.894736842,3,21.05263158,8,71.05263158,27,27,76,-49,17
1,Chelsea,2016/17,38,78.94736842,30,7.894736842,3,13.15789474,5,85,33,52,93
2,Tottenham,2016/17,38,68.42105263,26,21.05263158,8,10.52631579,4,86,26,60,86
3,Man City,2016/17,38,60.52631579,23,23.68421053,9,15.78947368,6,80,39,41,78
4,Liverpool,2016/17,38,57.89473684,22,26.31578947,10,15.78947368,6,78,42,36,76
5,Arsenal,2016/17,38,60.52631579,23,15.78947368,6,23.68421053,9,77,44,33,75
6,Man United,2016/17,38,47.36842105,18,39.47368421,15,13.15789474,5,54,29,25,69
7,Everton,2016/17,38,44.73684211,17,26.31578947,10,28.94736842,11,62,44,18,61
8,Southampton,2016/17,38,31.57894737,12,26.31578947,10,42.10526316,16,41,48,-7,46
9,Bournemouth,2016/17,38,31.57894737,12,26.31578947,10,42.10526316,16,55,67,-12,46
10,West Brom,2016/17,38,31.57894737,12,23.68421053,9,44.73684211,17,43,51,-8,45
11,West Ham,2016/17,38,31.57894737,12,23.68421053,9,44.73684211,17,47,64,-17,45
12,Leicester,2016/17,38,31.57894737,12,21.05263158,8,47.36842105,18,48,63,-15,44
13,Stoke,2016/17,38,28.94736842,11,28.94736842,11,42.10526316,16,41,56,-15,44
14,Crystal Palace,2016/17,38,31.57894737,12,13.15789474,5,55.26315789,21,50,63,-13,41
15,Swansea,2016/17,38,31.57894737,12,13.15789474,5,55.26315789,21,45,70,-25,41
16,Burnley,2016/17,38,28.94736842,11,18.42105263,7,52.63157895,20,39,55,-16,40
17,Watford,2016/17,38,28.94736842,11,18.42105263,7,52.63157895,20,40,68,-28,40
18,Hull,2016/17,38,23.68421053,9,18.42105263,7,57.89473684,22,37,80,-43,34
19,Middlesbrough,2016/17,38,13.15789474,5,34.21052632,13,52.63157895,20,27,53,-26,28
20,Sunderland,2016/17,38,15.78947368,6,15.78947368,6,68.42105263,26,29,69,-40,24
1,Man City,2017/18,38,84.21052632,32,10.52631579,4,5.263157895,2,106,27,79,100
2,Man United,2017/18,38,65.78947368,25,15.78947368,6,18.42105263,7,68,28,40,81
3,Tottenham,2017/18,38,60.52631579,23,21.05263158,8,18.42105263,7,74,36,38,77
4,Liverpool,2017/18,38,55.26315789,21,31.57894737,12,13.15789474,5,84,38,46,75
5,Chelsea,2017/18,38,55.26315789,21,18.42105263,7,26.31578947,10,62,38,24,70
6,Arsenal,2017/18,38,50,19,15.78947368,6,34.21052632,13,74,51,23,63
7,Burnley,2017/18,38,36.84210526,14,31.57894737,12,31.57894737,12,36,39,-3,54
8,Everton,2017/18,38,34.21052632,13,26.31578947,10,39.47368421,15,44,58,-14,49
9,Leicester,2017/18,38,31.57894737,12,28.94736842,11,39.47368421,15,56,60,-4,47
10,Newcastle,2017/18,38,31.57894737,12,21.05263158,8,47.36842105,18,39,47,-8,44
11,Crystal Palace,2017/18,38,28.94736842,11,28.94736842,11,42.10526316,16,45,55,-10,44
12,Bournemouth,2017/18,38,28.94736842,11,28.94736842,11,42.10526316,16,45,61,-16,44
13,West Ham,2017/18,38,26.31578947,10,31.57894737,12,42.10526316,16,48,68,-20,42
14,Watford,2017/18,38,28.94736842,11,21.05263158,8,50,19,44,64,-20,41
15,Brighton,2017/18,38,23.68421053,9,34.21052632,13,42.10526316,16,34,54,-20,40
16,Huddersfield,2017/18,38,23.68421053,9,26.31578947,10,50,19,28,58,-30,37
17,Southampton,2017/18,38,18.42105263,7,39.47368421,15,42.10526316,16,37,56,-19,36
18,Swansea,2017/18,38,21.05263158,8,23.68421053,9,55.26315789,21,28,56,-28,33
19,Stoke,2017/18,38,18.42105263,7,31.57894737,12,50,19,35,68,-33,33
20,West Brom,2017/18,38,15.78947368,6,34.21052632,13,50,19,31,56,-25,31
1,Man City,2018/19,38,84.21052632,32,5.263157895,2,10.52631579,4,95,23,72,98
2,Liverpool,2018/19,38,78.94736842,30,18.42105263,7,2.631578947,1,89,22,67,97
3,Chelsea,2018/19,38,55.26315789,21,23.68421053,9,21.05263158,8,63,39,24,72
4,Tottenham,2018/19,38,60.52631579,23,5.263157895,2,34.21052632,13,67,39,28,71
5,Arsenal,2018/19,38,55.26315789,21,18.42105263,7,26.31578947,10,73,51,22,70
6,Man United,2018/19,38,50,19,23.68421053,9,26.31578947,10,65,54,11,66
7,Wolves,2018/19,38,42.10526316,16,23.68421053,9,34.21052632,13,47,46,1,57
8,Everton,2018/19,38,39.47368421,15,23.68421053,9,36.84210526,14,54,46,8,54
9,Leicester,2018/19,38,39.47368421,15,18.42105263,7,42.10526316,16,51,48,3,52
10,West Ham,2018/19,38,39.47368421,15,18.42105263,7,42.10526316,16,52,55,-3,52
11,Watford,2018/19,38,36.84210526,14,21.05263158,8,42.10526316,16,52,59,-7,50
12,Crystal Palace,2018/19,38,36.84210526,14,18.42105263,7,44.73684211,17,51,53,-2,49
13,Newcastle,2018/19,38,31.57894737,12,23.68421053,9,44.73684211,17,42,48,-6,45
14,Bournemouth,2018/19,38,34.21052632,13,15.78947368,6,50,19,56,70,-14,45
15,Burnley,2018/19,38,28.94736842,11,18.42105263,7,52.63157895,20,45,68,-23,40
16,Southampton,2018/19,38,23.68421053,9,31.57894737,12,44.73684211,17,45,65,-20,39
17,Brighton,2018/19,38,23.68421053,9,23.68421053,9,52.63157895,20,35,60,-25,36
18,Cardiff,2018/19,38,26.31578947,10,10.52631579,4,63.15789474,24,34,69,-35,34
19,Fulham,2018/19,38,18.42105263,7,13.15789474,5,68.42105263,26,34,81,-47,26
20,Huddersfield,2018/19,38,7.894736842,3,18.42105263,7,73.68421053,28,22,76,-54,16
1,Liverpool,2019/20,38,84.21052632,32,7.894736842,3,7.894736842,3,85,33,52,99
2,Man City,2019/20,38,68.42105263,26,7.894736842,3,23.68421053,9,102,35,67,81
3,Man United,2019/20,38,47.36842105,18,31.57894737,12,21.05263158,8,66,36,30,66
4,Chelsea,2019/20,38,52.63157895,20,15.78947368,6,31.57894737,12,69,54,15,66
5,Leicester,2019/20,38,47.36842105,18,21.05263158,8,31.57894737,12,67,41,26,62
6,Tottenham,2019/20,38,42.10526316,16,28.94736842,11,28.94736842,11,61,47,14,59
7,Wolves,2019/20,38,39.47368421,15,36.84210526,14,23.68421053,9,51,40,11,59
8,Arsenal,2019/20,38,36.84210526,14,36.84210526,14,26.31578947,10,56,48,8,56
9,Sheffield United,2019/20,38,36.84210526,14,31.57894737,12,31.57894737,12,39,39,0,54
10,Burnley,2019/20,38,39.47368421,15,23.68421053,9,36.84210526,14,43,50,-7,54
11,Southampton,2019/20,38,39.47368421,15,18.42105263,7,42.10526316,16,51,60,-9,52
12,Everton,2019/20,38,34.21052632,13,26.31578947,10,39.47368421,15,44,56,-12,49
13,Newcastle,2019/20,38,28.94736842,11,28.94736842,11,42.10526316,16,38,58,-20,44
14,Crystal Palace,2019/20,38,28.94736842,11,26.31578947,10,44.73684211,17,31,50,-19,43
15,Brighton,2019/20,38,23.68421053,9,36.84210526,14,39.47368421,15,39,54,-15,41
16,West Ham,2019/20,38,26.31578947,10,23.68421053,9,50,19,49,62,-13,39
17,Aston Villa,2019/20,38,23.68421053,9,21.05263158,8,55.26315789,21,41,67,-26,35
18,Bournemouth,2019/20,38,23.68421053,9,18.42105263,7,57.89473684,22,40,65,-25,34
19,Watford,2019/20,38,21.05263158,8,26.31578947,10,52.63157895,20,36,64,-28,34
20,Norwich,2019/20,38,13.15789474,5,15.78947368,6,71.05263158,27,26,75,-49,21
