,Club,Matches_10/11,Wins_10/11,Draws_10/11,Losses_10/11,GoalsScored_10/11,GoalsConceded_10/11,GoalDiff_10/11,Points_10/11,Matches_11/12,Wins_11/12,Draws_11/12,Losses_11/12,GoalsScored_11/12,GoalsConceded_11/12,GoalDiff_11/12,Points_11/12,Matches_12/13,Wins_12/13,Draws_12/13,Losses_12/13,GoalsScored_12/13,GoalsConceded_12/13,GoalDiff_12/13,Points_12/13,Matches_13/14,Wins_13/14,Draws_13/14,Losses_13/14,GoalsScored_13/14,GoalsConceded_13/14,GoalDiff_13/14,Points_13/14,Matches_14/15,Wins_14/15,Draws_14/15,Losses_14/15,GoalsScored_14/15,GoalsConceded_14/15,GoalDiff_14/15,Points_14/15,Matches_15/16,Wins_15/16,Draws_15/16,Losses_15/16,GoalsScored_15/16,GoalsConceded_15/16,GoalDiff_15/16,Points_15/16,Matches_16/17,Wins_16/17,Draws_16/17,Losses_16/17,GoalsScored_16/17,GoalsConceded_16/17,GoalDiff_16/17,Points_16/17,Matches_17/18,Wins_17/18,Draws_17/18,Losses_17/18,GoalsScored_17/18,GoalsConceded_17/18,GoalDiff_17/18,Points_17/18,Matches_18/19,Wins_18/19,Draws_18/19,Losses_18/19,GoalsScored_18/19,GoalsConceded_18/19,GoalDiff_18/19,Points_18/19,Matches_19/20,Wins_19/20,Draws_19/20,Losses_19/20,GoalsScored_19/20,GoalsConceded_19/20,GoalDiff_19/20,Points_19/20,Matches_20/21,Wins_20/21,Draws_20/21,Losses_20/21,GoalsScored_20/21,GoalsConceded_20/21,GoalDiff_20/21,Points_20/21,Matches_21/22,Wins_21/22,Draws_21/22,Losses_21/22,GoalsScored_21/22,GoalsConceded_21/22,GoalDiff_21/22,Points_21/22
0,Lille,38,21,13,4,68,36,32,76,38,21,11,6,72,39,33,74,38,16,14,8,59,40,19,62,38,20,11,7,46,26,20,71,38,16,8,14,43,42,1,56,38,15,15,8,39,27,12,60,38,13,7,18,40,47,-7,46,38,10,8,20,41,67,-26,38,38,22,9,7,68,33,35,75,28,15,4,9,35,27,8,49,38,24,11,3,64,23,41,83,38,14,13,11,48,48,0,55
1,Marseille,38,18,14,6,62,39,23,68,38,12,12,14,45,41,4,48,38,21,8,9,42,36,6,71,38,16,12,10,53,40,13,60,38,21,6,11,76,42,34,69,38,10,18,10,48,42,6,48,38,17,11,10,57,41,16,62,38,22,11,5,80,47,33,77,38,18,7,13,60,52,8,61,28,16,8,4,41,29,12,56,38,16,12,10,54,47,7,60,38,21,8,9,63,38,25,71
2,Lyon,38,17,13,8,61,40,21,64,38,19,7,12,64,51,13,64,38,19,10,9,61,38,23,67,38,17,10,11,56,44,12,61,38,22,9,7,72,33,39,75,38,19,8,11,67,43,24,65,38,21,4,13,77,48,29,67,38,23,9,6,87,43,44,78,38,21,9,8,70,47,23,72,28,11,7,10,42,27,15,40,38,22,10,6,81,43,38,76,38,17,11,10,66,51,15,61
3,Paris Saint-Germain,38,15,15,8,56,41,15,60,38,23,10,5,75,41,34,79,38,25,8,5,69,23,46,83,38,27,8,3,84,23,61,89,38,24,11,3,83,36,47,83,38,30,6,2,102,19,83,96,38,27,6,5,83,27,56,87,38,29,6,3,108,29,79,93,38,29,4,5,105,35,70,91,27,22,2,3,75,24,51,68,38,26,4,8,86,28,58,82,38,26,8,4,90,36,54,86
4,Sochaux,38,17,7,14,60,43,17,58,38,11,9,18,40,60,-20,42,38,10,11,17,41,57,-16,41,38,10,10,18,37,61,-24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Rennes,38,15,11,12,38,35,3,56,38,17,9,12,53,44,9,60,38,13,7,18,48,59,-11,46,38,11,13,14,47,45,2,46,38,13,11,14,35,42,-7,50,38,13,13,12,52,54,-2,52,38,12,14,12,36,42,-6,50,38,16,10,12,50,44,6,58,38,13,13,12,55,52,3,52,28,15,5,8,38,24,14,50,38,16,10,12,52,40,12,58,38,20,6,12,82,40,42,66
6,Bordeaux,38,12,15,11,43,42,1,51,38,16,13,9,53,41,12,61,38,13,16,9,40,34,6,55,38,13,14,11,49,43,6,53,38,17,12,9,47,44,3,63,38,12,14,12,50,57,-7,50,38,15,14,9,53,43,10,59,38,16,7,15,53,48,5,55,38,10,11,17,34,42,-8,41,28,9,10,9,40,34,6,37,38,13,6,19,42,56,-14,45,38,6,13,19,52,91,-39,31
7,Toulouse,38,14,8,16,38,36,2,50,38,15,11,12,37,34,3,56,38,13,12,13,49,47,2,51,38,12,13,13,46,53,-7,49,38,12,6,20,43,64,-21,42,38,9,13,16,45,55,-10,40,38,10,14,14,37,41,-4,44,38,9,10,19,38,54,-16,37,38,8,14,16,35,57,-22,38,28,3,4,21,22,58,-36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Auxerre,38,10,19,9,45,41,4,49,38,7,13,18,46,57,-11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,St Etienne,38,12,13,13,46,47,-1,49,38,16,9,13,49,45,4,57,38,16,15,7,60,32,28,63,38,20,9,9,56,34,22,69,38,19,12,7,51,30,21,69,38,17,7,14,42,37,5,58,38,12,14,12,41,42,-1,50,38,15,10,13,47,50,-3,55,38,19,9,10,59,41,18,66,28,8,6,14,29,45,-16,30,38,12,10,16,42,54,-12,46,38,7,11,20,42,77,-35,32
10,Lorient,38,12,13,13,46,48,-2,49,38,9,12,17,35,49,-14,39,38,14,11,13,57,58,-1,53,38,13,10,15,48,53,-5,49,38,12,7,19,44,50,-6,43,38,11,13,14,47,58,-11,46,38,10,6,22,44,70,-26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,9,18,50,68,-18,42,38,8,12,18,35,63,-28,36
11,Valenciennes,38,10,18,10,45,41,4,48,38,12,7,19,40,50,-10,43,38,12,12,14,49,53,-4,48,38,7,8,23,37,65,-28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nancy,38,13,9,16,43,48,-5,48,38,11,12,15,38,48,-10,45,38,9,11,18,38,58,-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,8,21,29,52,-23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Montpellier,38,12,11,15,32,43,-11,47,38,25,7,6,68,34,34,82,38,15,7,16,54,51,3,52,38,8,18,12,45,53,-8,42,38,16,8,14,46,39,7,56,38,14,7,17,49,47,2,49,38,10,9,19,48,66,-18,39,38,11,18,9,36,33,3,51,38,15,14,9,53,42,11,59,28,11,7,10,35,34,1,40,38,14,12,12,60,62,-2,54,38,12,7,19,49,61,-12,43
14,Caen,38,11,13,14,46,51,-5,46,38,9,11,18,39,59,-20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,10,16,54,55,-1,46,38,16,6,16,39,52,-13,54,38,10,7,21,36,65,-29,37,38,10,8,20,27,52,-25,38,38,7,12,19,29,54,-25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brest,38,11,13,14,36,43,-7,46,38,8,17,13,31,38,-7,41,38,8,5,25,32,62,-30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,10,10,34,37,-3,34,38,11,8,19,50,66,-16,41,38,13,9,16,49,57,-8,48
16,Nice,38,11,13,14,33,48,-15,46,38,10,12,16,39,46,-7,42,38,18,10,10,57,46,11,64,38,12,6,20,30,45,-15,42,38,13,9,16,44,53,-9,48,38,18,9,11,58,41,17,63,38,22,12,4,63,36,27,78,38,15,9,14,53,52,1,54,38,15,11,12,30,35,-5,56,28,11,8,9,41,38,3,41,38,15,7,16,50,53,-3,52,38,20,7,11,52,36,16,66
17,Monaco,38,9,17,12,36,40,-4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,11,4,63,31,32,80,38,20,11,7,51,26,25,71,38,17,14,7,57,50,7,65,38,30,5,3,107,31,76,95,38,24,8,6,85,45,40,80,38,8,12,18,38,57,-19,36,28,11,7,10,44,44,0,40,38,24,6,8,76,42,34,78,38,20,9,9,65,40,25,69
18,RC Lens,38,7,14,17,35,58,-23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,8,23,32,61,-29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,12,11,55,54,1,57,38,17,11,10,62,48,14,62
19,Arles,38,3,11,24,21,70,-49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Evian Thonon Gaillar,0,0,0,0,0,0,0,0,38,13,11,14,54,55,-1,50,38,10,10,18,46,53,-7,40,38,11,11,16,39,51,-12,44,38,11,4,23,41,62,-21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,AC Ajaccio,0,0,0,0,0,0,0,0,38,9,14,15,40,61,-21,41,38,9,15,14,39,51,-12,40,38,4,11,23,37,72,-35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Dijon,0,0,0,0,0,0,0,0,38,9,9,20,38,63,-25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,13,17,46,58,-12,37,38,13,9,16,55,73,-18,48,38,9,7,22,31,60,-29,34,28,7,9,12,27,37,-10,30,38,4,9,25,25,73,-48,21,0,0,0,0,0,0,0,0
24,Bastia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,8,17,50,66,-16,47,38,12,11,15,42,56,-14,49,38,12,11,15,37,46,-9,47,38,14,8,16,36,42,-6,50,38,8,10,20,29,54,-25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Reims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10,13,15,33,42,-9,43,38,12,12,14,44,55,-11,48,38,12,8,18,47,66,-19,44,38,10,9,19,44,57,-13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,16,9,39,42,-3,55,28,10,11,7,26,21,5,41,38,9,15,14,42,50,-8,42,38,11,13,14,43,44,-1,46
26,Troyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,13,17,43,61,-18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,9,26,28,83,-55,18,0,0,0,0,0,0,0,0,38,9,6,23,32,59,-27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,11,18,37,53,-16,38
27,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,11,15,38,43,-5,46,38,11,12,15,29,40,-11,45,38,12,12,14,33,44,-11,48,38,14,9,15,40,54,-14,51,38,14,10,14,36,41,-5,52,38,13,9,16,48,48,0,48,28,11,4,13,28,31,-3,37,38,9,13,16,47,55,-8,40,38,15,10,13,55,48,7,55
28,Guingamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,9,18,34,42,-8,42,38,15,4,19,41,55,-14,49,0,0,0,0,0,0,0,0,38,14,8,16,46,53,-7,50,38,12,11,15,48,59,-11,47,38,5,12,21,28,68,-40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Metz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,9,22,31,61,-30,30,0,0,0,0,0,0,0,0,38,11,10,17,39,72,-33,43,38,6,8,24,34,76,-42,26,0,0,0,0,0,0,0,0,28,8,10,10,27,35,-8,34,38,12,11,15,44,48,-4,47,38,6,13,19,35,69,-34,31
30,Angers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,11,14,40,38,2,50,38,13,7,18,40,49,-9,46,38,9,14,15,42,52,-10,41,38,10,16,12,44,49,-5,46,28,11,6,11,28,33,-5,39,38,12,8,18,40,58,-18,44,38,10,11,17,44,55,-11,41
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,11,16,47,56,-9,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Gazelec Ajaccio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,13,17,37,58,-21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Amiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,12,9,17,37,42,-5,45,38,9,11,18,31,52,-21,38,28,4,11,13,31,50,-19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,11,18,44,67,-23,38,38,11,16,11,58,48,10,49,27,11,5,11,32,32,0,38,38,11,9,18,49,58,-9,42,38,17,12,9,60,43,17,63
35,Nimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,8,15,57,58,-1,53,28,7,6,15,29,44,-15,27,38,9,8,21,40,71,-31,35,0,0,0,0,0,0,0,0
36,Clermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,9,20,38,69,-31,36
